0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000013,-0.000014,0.000002,-0.000000,-0.000000
-0.000000,0.000051,-0.000057,0.000006,-0.000000,0.000000
-0.000000,0.000116,-0.000129,0.000014,-0.000000,0.000000
-0.000000,0.000206,-0.000230,0.000024,-0.000000,0.000000
-0.000000,0.000322,-0.000359,0.000038,-0.000000,0.000000
-0.000000,0.000463,-0.000517,0.000054,-0.000000,0.000000
-0.000000,0.000630,-0.000704,0.000074,-0.000000,0.000000
-0.000000,0.000823,-0.000920,0.000096,-0.000000,0.000000
-0.000000,0.001042,-0.001164,0.000122,-0.000000,0.000000
-0.000000,0.001286,-0.001437,0.000151,-0.000000,0.000000
-0.000000,0.001556,-0.001739,0.000182,-0.000000,0.000000
-0.000000,0.001852,-0.002069,0.000217,-0.000000,0.000000
-0.000000,0.002174,-0.002428,0.000255,-0.000000,0.000000
-0.000000,0.002521,-0.002816,0.000295,-0.000000,0.000000
-0.000000,0.002894,-0.003233,0.000339,-0.000000,0.000000
-0.000000,0.003293,-0.003678,0.000385,-0.000000,0.000000
-0.000001,0.003717,-0.004152,0.000435,-0.000001,0.000000
-0.000001,0.004167,-0.004655,0.000488,-0.000001,0.000000
-0.000001,0.004643,-0.005187,0.000543,-0.000001,0.000000
-0.000001,0.005145,-0.005747,0.000602,-0.000001,0.000000
-0.000001,0.005672,-0.006336,0.000664,-0.000001,0.000001
-0.000002,0.006225,-0.006954,0.000728,-0.000002,0.000001
-0.000002,0.006804,-0.007601,0.000796,-0.000002,0.000001
-0.000003,0.007408,-0.008276,0.000867,-0.000003,0.000001
-0.000003,0.008039,-0.008980,0.000940,-0.000003,0.000001
-0.000004,0.008694,-0.009713,0.001017,-0.000004,0.000001
-0.000004,0.009376,-0.010474,0.001097,-0.000004,0.000001
-0.000005,0.010084,-0.011264,0.001179,-0.000005,0.000002
-0.000006,0.010817,-0.012083,0.001265,-0.000006,0.000002
-0.000006,0.011575,-0.012931,0.001353,-0.000006,0.000002
-0.000007,0.012360,-0.013807,0.001445,-0.000007,0.000002
-0.000008,0.013170,-0.014712,0.001539,-0.000008,0.000003
-0.000009,0.014006,-0.015645,0.001636,-0.000009,0.000003
-0.000011,0.014868,-0.016608,0.001737,-0.000011,0.000004
-0.000012,0.015755,-0.017599,0.001840,-0.000012,0.000004
-0.000013,0.016668,-0.018619,0.001946,-0.000013,0.000004
-0.000015,0.017607,-0.019667,0.002055,-0.000015,0.000005
-0.000017,0.018571,-0.020744,0.002167,-0.000017,0.000006
-0.000018,0.019561,-0.021850,0.002282,-0.000018,0.000006
-0.000020,0.020577,-0.022984,0.002400,-0.000020,0.000007
-0.000022,0.021619,-0.024147,0.002521,-0.000022,0.000008
-0.000025,0.022686,-0.025338,0.002644,-0.000025,0.000008
-0.000027,0.023779,-0.026559,0.002771,-0.000027,0.000009
-0.000030,0.024898,-0.027807,0.002900,-0.000030,0.000010
-0.000033,0.026042,-0.029085,0.003032,-0.000033,0.000011
-0.000036,0.027212,-0.030391,0.003167,-0.000036,0.000012
-0.000039,0.028407,-0.031725,0.003305,-0.000039,0.000013
-0.000042,0.029629,-0.033088,0.003446,-0.000042,0.000014
-0.000046,0.030876,-0.034480,0.003589,-0.000046,0.000015
-0.000050,0.032148,-0.035900,0.003735,-0.000050,0.000017
-0.000054,0.033446,-0.037348,0.003884,-0.000054,0.000018
-0.000059,0.034770,-0.038826,0.004036,-0.000059,0.000020
-0.000063,0.036120,-0.040331,0.004190,-0.000063,0.000021
-0.000068,0.037495,-0.041865,0.004347,-0.000068,0.000023
-0.000073,0.038896,-0.043427,0.004507,-0.000073,0.000025
-0.000079,0.040322,-0.045018,0.004669,-0.000079,0.000026
-0.000085,0.041774,-0.046637,0.004834,-0.000085,0.000028
-0.000091,0.043251,-0.048284,0.005002,-0.000091,0.000030
-0.000097,0.044754,-0.049959,0.005172,-0.000097,0.000033
-0.000104,0.046283,-0.051663,0.005345,-0.000104,0.000035
-0.000111,0.047837,-0.053395,0.005521,-0.000111,0.000037
-0.000119,0.049417,-0.055155,0.005698,-0.000119,0.000040
-0.000127,0.051022,-0.056944,0.005879,-0.000127,0.000042
-0.000135,0.052653,-0.058760,0.006062,-0.000135,0.000045
-0.000144,0.054310,-0.060605,0.006247,-0.000144,0.000048
-0.000153,0.055992,-0.062477,0.006434,-0.000153,0.000051
-0.000162,0.057699,-0.064377,0.006624,-0.000162,0.000054
-0.000172,0.059432,-0.066306,0.006817,-0.000172,0.000058
-0.000182,0.061190,-0.068262,0.007011,-0.000182,0.000061
-0.000193,0.062974,-0.070246,0.007208,-0.000193,0.000065
-0.000205,0.064783,-0.072258,0.007407,-0.000205,0.000069
-0.000216,0.066617,-0.074297,0.007608,-0.000216,0.000072
-0.000229,0.068477,-0.076365,0.007811,-0.000229,0.000077
-0.000242,0.070362,-0.078459,0.008016,-0.000242,0.000081
-0.000255,0.072273,-0.080582,0.008223,-0.000255,0.000085
-0.000269,0.074209,-0.082731,0.008432,-0.000269,0.000090
-0.000283,0.076170,-0.084909,0.008643,-0.000283,0.000095
-0.000298,0.078157,-0.087113,0.008856,-0.000298,0.000100
-0.000314,0.080169,-0.089345,0.009071,-0.000314,0.000105
-0.000330,0.082206,-0.091604,0.009287,-0.000330,0.000111
-0.000347,0.084268,-0.093890,0.009505,-0.000347,0.000116
-0.000365,0.086355,-0.096202,0.009725,-0.000365,0.000122
-0.000383,0.088468,-0.098542,0.009946,-0.000383,0.000128
