1.741892075466614642e+01,-9.206916371330831339e+01,-1.510102967690280984e+01,-5.954921328173846007e+01,1.144938781878936318e+01,2.297156409906238395e+01,-4.014184313296210860e+01,1.337479735342800957e+01,-2.530321120314495076e+00
3.251276469205966180e+01,-7.750229102110459678e+01,-1.959366286525217049e-01,-4.479358970039314158e+01,1.075646701270135885e+01,1.771489747565710360e+01,-2.674526980882522409e+01,4.591353496548439495e+00,-2.443320469609219003e+00
3.501243096108291297e+01,-6.212989548543009022e+01,6.125826355546518442e+00,-3.324329087989313791e+01,9.379292498465805039e+00,1.450218101678534843e+01,-1.788559624498937595e+01,-8.714172387332883574e-01,-1.720192724182783683e+00
3.365385472639290754e+01,-4.990320266350384770e+01,8.811978091852562756e+00,-2.506132602896382267e+01,8.182759462833924857e+00,1.264173287661986755e+01,-1.261318641973171317e+01,-4.051324671833866020e+00,-1.165428098065995455e+00
3.099694159338626775e+01,-4.023512216662722807e+01,9.828447494215147628e+00,-1.906662806745560346e+01,7.187159976888750634e+00,1.122846721889064625e+01,-8.807049677345093031e+00,-6.188576119727014380e+00,-7.479717598665379663e-01
2.787292694623705103e+01,-3.253978958667928367e+01,9.931376143289703862e+00,-1.459823878373200756e+01,6.366765692046693736e+00,9.973324160006013628e+00,-5.845827073438822019e+00,-7.632332045381395424e+00,-4.364837166667211998e-01
2.468355486319946479e+01,-2.638742761081851285e+01,9.529323425069318176e+00,-1.123319617268857407e+01,5.683575515137036405e+00,8.756112054174620241e+00,-3.470161992825659958e+00,-8.532267098242376946e+00,-2.034451137464601267e-01
2.169905135378748895e+01,-2.151698668962527705e+01,8.888199662845865490e+00,-8.706134998682827586e+00,5.101645084962676435e+00,7.578441957680243313e+00,-1.582576963415622373e+00,-8.993262617467031816e+00,-2.729640977572960966e-02
1.901852910261763441e+01,-1.766428877316742430e+01,8.155892553269307399e+00,-6.801652223819168341e+00,4.597855366511510056e+00,6.461353947707896950e+00,-1.044174841709271107e-01,-9.118024422078654823e+00,1.058560551118305909e-01
1.664472428609377630e+01,-1.459196525694302338e+01,7.405283445783994445e+00,-5.352524416633174020e+00,4.158232036796128739e+00,5.418758756630397855e+00,1.039009332364769556e+00,-8.996735166409225215e+00,2.053115040931393076e-01
1.455931531319707517e+01,-1.212453238513284148e+01,6.676014096664708575e+00,-4.241231168600199553e+00,3.771783448831020902e+00,4.466911967030030794e+00,1.907833382121863597e+00,-8.706444923670000335e+00,2.782752212382290091e-01
1.273561261903505937e+01,-1.013091471028882040e+01,5.988591326545548377e+00,-3.383893417799626491e+00,3.429840240566577769e+00,3.616933542208652597e+00,2.553194367886879146e+00,-8.309473195234524212e+00,3.303727947411968513e-01
1.114492280615688280e+01,-8.511838660563048720e+00,5.352610288345572620e+00,-2.719526142751595543e+00,3.125519829524772586e+00,2.872716302968298052e+00,3.018849443051905723e+00,-7.853136213000153631e+00,3.660285039471348756e-01
9.759526885861472323e+00,-7.191013470308824651e+00,4.771475916998745070e+00,-2.202962501446056098e+00,2.853310027720982855e+00,2.231757502639579283e+00,3.341684038130500412e+00,-7.371234253776390410e+00,3.887445633492214170e-01
8.553912482725525734e+00,-6.109050257978345222e+00,4.245083500698770607e+00,-1.800221275951495947e+00,2.608752531022894949e+00,1.687090328328036293e+00,3.552172172703831787e+00,-6.886543248826204611e+00,4.013086125034561191e-01
7.505159755813143541e+00,-5.219244396116732077e+00,3.771349685834184839e+00,-1.485434326137721195e+00,2.388204609613906459e+00,1.229251561861233188e+00,3.675028024359706880e+00,-6.413502741747203473e+00,4.059493020927746887e-01
6.592944565094128073e+00,-4.484586915251534300e+00,3.347108094890565599e+00,-1.238750445048013127e+00,2.188659775041996269e+00,8.478305144719946451e-01,3.729999477729288415e+00,-5.960605487209357456e+00,4.044541753364169767e-01
5.799381836946643887e+00,-3.875587148176401708e+00,2.968650603774130925e+00,-1.044855915003823466e+00,2.007612193799605649e+00,5.325093658860886592e-01,3.732695531876883077e+00,-5.532297151804589141e+00,3.982599577229352095e-01
5.108810611783878741e+00,-3.368644541145771054e+00,2.632063692642061081e+00,-8.918976220039790404e-01,1.842953456250758126e+00,2.736699570808420745e-01,3.695363173198267681e+00,-5.130381235719680078e+00,3.885224651787700378e-01
4.507565429954372149e+00,-2.944806195248413694e+00,2.333439983315105160e+00,-7.706807486091520332e-01,1.692893386153398572e+00,6.268754903304452064e-02,3.627568194426714410e+00,-4.755007332496716366e+00,3.761712948368656217e-01
3.983753454843768971e+00,-2.588805330345745226e+00,2.069009854624402234e+00,-6.740617301264851813e-01,1.555898848741615215e+00,-1.079774820032921578e-01,3.536765109998942336e+00,-4.405341059093750289e+00,3.619530236168080339e-01
3.527045693959210304e+00,-2.288310266859577613e+00,1.835220013925027427e+00,-5.964845868254258221e-01,1.430646141189324094e+00,-2.448060092290045286e-01,3.428759839072532234e+00,-4.080004910384130490e+00,3.464656260899021123e-01
3.128485728901099883e+00,-2.033334284405860171e+00,1.628776234733997796e+00,-5.336247902387576403e-01,1.315983706388031749e+00,-3.533076622299324843e-01,3.308077749149254565e+00,-3.777360684635242105e+00,3.301861058022910744e-01
2.780316994006904796e+00,-1.815769950407914779e+00,1.446661859651412918e+00,-4.821148160524404425e-01,1.210902741263023552e+00,-4.381338839723578626e-01,3.178252533128807400e+00,-3.495685365425884150e+00,3.134928234024554339e-01
2.475828412661934319e+00,-1.629020481918591834e+00,1.286140129347214334e+00,-4.393321986038607463e-01,1.114513874366297896e+00,-5.031958465540439240e-01,3.042051031073862433e+00,-3.233276856579582414e+00,2.966836381614884610e-01
