-1.022265802540126778e+00,4.744352100589659949e-01,2.739152962405806413e-01,-2.087984407340952309e-02,1.460963901317850755e-01,-2.717617308496791395e-01
-9.220488749972437503e-01,5.311564091262440668e-01,2.993433580430703289e-01,-3.898538365114433482e-03,1.131687655856826596e-01,-2.505910516389671661e-01
-8.364660980453365591e-01,4.896169375436639770e-01,2.747808469078447113e-01,-7.762518342315658827e-03,9.194578511180794000e-02,-2.365880368947549661e-01
-7.583331329353640848e-01,4.512193456089675925e-01,2.520212235283393887e-01,-9.766945382877430248e-03,7.612298554093818725e-02,-2.213905464364708808e-01
-6.897141919623244188e-01,4.154835116763954672e-01,2.316069380419010504e-01,-1.087415837952929523e-02,6.493746694113994300e-02,-2.057649134958650372e-01
-6.304123851397627210e-01,3.821947382323743203e-01,2.134262663866241527e-01,-1.145848816477867960e-02,5.753710069019788570e-02,-1.902080114966213653e-01
-5.785540707195917509e-01,3.512988579874249395e-01,1.970198497347002975e-01,-1.162125564500897379e-02,5.257815778085132841e-02,-1.747575087965343998e-01
-5.316492516964699266e-01,3.227836241949294527e-01,1.818849210129798444e-01,-1.152742297570714079e-02,4.848412501682862474e-02,-1.601697035633966315e-01
-4.885080423698290875e-01,2.965278055608851493e-01,1.678103773062227799e-01,-1.128600419214868117e-02,4.468241139744121015e-02,-1.467883722238148003e-01
-4.488152817886845725e-01,2.723548185090913787e-01,1.547382440136201853e-01,-1.094113583589016725e-02,4.115474587515897259e-02,-1.345002326186434116e-01
-4.122856322259306205e-01,2.501011348736741358e-01,1.426095318088520802e-01,-1.052764554136543379e-02,3.788530021966506761e-02,-1.232145572436914444e-01
-3.786599187089843555e-01,2.296155076340641310e-01,1.313656891249748992e-01,-1.007165903518899945e-02,3.485878106306666835e-02,-1.128531624116753257e-01
-3.477020963078739091e-01,2.107581954628328924e-01,1.209495737984308539e-01,-9.592025787069326931e-03,3.205986957063837461e-02,-1.033448884210813323e-01
-3.191967104263206956e-01,1.934002003461945673e-01,1.113060824276401184e-01,-9.102033994532561165e-03,2.947328369508867701e-02,-9.462307861066369952e-02
