1,2,0.04999999999999998
2,3,0.04999999999999999
3,4,0.05000000000000002
4,5,0.049999999999999996
5,6,0.05
5,7,0.04999999999999999
7,8,0.04999999999999999
8,9,0.05000000000000002
9,10,0.049999999999999996
8,11,0.03715643189216274
10,12,0.05
12,13,0.050000000000000024
13,14,0.04999999999999999
11,15,0.024309932399649077
14,16,0.05
10,17,0.04535295657143768
11,18,0.02303594593891383
16,19,0.04999999999999998
3,20,0.04895335329621676
16,21,0.05000000000000001
21,22,0.049999999999999996
3,23,0.02223237968467603
22,24,0.05
24,25,0.049999999999999996
13,26,0.037495248726371166
25,27,0.05
27,28,0.05
28,29,0.05000000000000001
29,30,0.05000000000000002
30,31,0.05000000000000002
5,32,0.04999999999999999
7,33,0.05
19,34,0.05
21,35,0.05000000000000002
31,36,0.04999999999999999
27,37,0.050000000000000024
32,38,0.05000000000000002
22,39,0.03929860836079973
35,40,0.05
40,41,0.043047135724412024
13,42,0.030425294171300292
36,43,0.05
37,44,0.002415561819432352
41,45,0.05
33,46,0.023680870259474084
43,47,0.04999999999999999
6,48,0.030156312065125913
45,49,0.05
34,50,0.049999999999999996
50,51,0.05000000000000001
47,52,0.050000000000000024
47,53,0.023007549640551534
41,54,0.014787393688547505
52,55,0.03609796212296643
51,56,0.049999999999999996
56,57,0.049999999999999996
49,58,0.049999999999999996
57,59,0.05
59,60,0.04299157622878105
52,61,0.049999999999999996
53,62,0.013729160523850448
60,63,0.05000000000000002
50,64,0.05
36,65,0.04999999999999999
61,66,0.05000000000000002
63,67,0.05000000000000001
58,68,0.050000000000000024
7,69,0.021577224859820252
59,70,0.013138950879786912
9,71,0.028690219655467458
3,72,0.021725287097098252
22,73,0.012769065913196879
59,74,0.04999999999999999
14,75,0.030795501508561373
55,76,0.026376836710194616
74,77,0.05
68,78,0.049999999999999996
51,79,0.020825561480694633
24,80,0.02075148903462858
67,81,0.02296736922539903
38,82,0.045115695329931524
55,83,0.05
81,84,0.04999999999999999
60,85,0.023063431543178695
75,86,0.0321589806764411
44,87,0.05
78,88,0.050000000000000024
27,89,0.026037024247283012
84,90,0.05000000000000002
90,91,0.050000000000000024
91,92,0.05000000000000001
58,93,0.019606207098387347
23,94,0.014251916479941831
92,95,0.05000000000000002
32,96,0.02400391412360296
63,97,0.04999999999999998
47,98,0.04858067322053788
95,99,0.039367642295471086
1,100,0.036578850781772684
92,101,0.02414455277168167
78,102,0.049999999999999996
83,103,0.05000000000000002
65,104,0.05
98,105,0.010910373565223681
58,106,0.05000000000000001
44,107,0.04999999999999999
77,108,0.013663008171914747
49,109,0.02317166970979806
104,110,0.05000000000000002
93,111,0.016413335234045284
103,112,0.04999999999999999
54,113,0.038645783269095305
92,114,0.04999999999999997
9,115,0.0024923339438538837
85,116,0.010847299664312209
113,117,0.03502602673400382
31,118,0.02640595860442488
66,119,0.05000000000000002
50,120,0.03355745867617109
99,121,0.05000000000000002
119,122,0.04999999999999999
18,123,0.014984242288105054
112,124,0.04999999999999999
72,125,0.006668743433222221
124,126,0.05
99,127,0.05000000000000003
120,128,0.03128421698513907
126,129,0.050000000000000024
122,130,0.05000000000000001
130,131,0.05000000000000002
120,132,0.02045229676568799
101,133,0.04999999999999997
129,134,0.049999999999999996
131,135,0.050000000000000024
11,136,0.011802181684835503
134,137,0.049999999999999996
135,138,0.05000000000000001
138,139,0.05000000000000001
139,140,0.05000000000000001
140,141,0.0317593729472883
